age_cat,c_offense_date,ethnicity,is_violent_recid,sex,v_score_text,vr_offense_date
adult,2013-05-21,Caucasian,1,Male,Low,2015-11-01
senior,2013-01-14,African-American,1,Male,Low,2014-10-23
adult,2013-03-20,Other,1,Male,Low,2013-07-07
adult,,Hispanic,1,Male,Low,2014-02-18
adult,,Caucasian,1,Male,Low,2015-02-25
young,2013-10-14,African-American,1,Male,High,2014-10-24
adult,2013-03-17,African-American,1,Male,Low,2013-12-05
young,,African-American,1,Male,High,2015-11-18
adult,2013-05-25,African-American,1,Male,Low,2015-10-03
young,2013-01-17,African-American,1,Male,High,2014-07-28
adult,,African-American,1,Female,Medium,2015-01-27
adult,2014-07-07,Other,1,Female,Low,2014-12-24
adult,2013-05-16,African-American,1,Male,High,2016-02-10
adult,2013-12-02,African-American,1,Male,Low,2015-03-07
senior,2014-12-29,African-American,1,Male,Medium,2015-02-12
young,2013-03-06,African-American,1,Male,High,2015-01-06
young,2014-11-18,African-American,1,Female,Medium,2015-07-19
adult,2014-01-23,Caucasian,1,Male,Low,2015-07-31
adult,2013-03-22,Caucasian,1,Female,Low,2014-08-13
young,,Hispanic,1,Male,Medium,2015-05-31
young,2014-11-27,African-American,1,Male,Low,2015-04-16
young,2013-01-16,African-American,1,Male,High,2013-05-01
young,2014-03-25,Caucasian,1,Male,Medium,2014-06-07
young,2014-05-15,Caucasian,1,Male,Medium,2015-01-28
adult,2013-11-30,Hispanic,1,Male,High,2014-01-17
adult,2013-01-12,African-American,1,Male,Low,2014-10-19
adult,2013-01-08,African-American,1,Female,Low,2014-02-18
adult,2013-11-11,African-American,1,Male,Low,2015-09-15
young,2013-01-27,Caucasian,1,Male,Medium,2014-09-01
young,2013-12-15,African-American,1,Male,High,2014-09-25
adult,2013-01-01,African-American,1,Male,Medium,2013-12-28
young,,African-American,1,Male,High,2013-11-20
adult,2014-03-25,African-American,1,Female,Low,2014-11-22
adult,2013-10-04,African-American,1,Male,High,2015-12-14
adult,2013-01-07,Caucasian,1,Male,Low,2013-01-28
adult,2014-12-29,African-American,1,Male,High,2015-01-17
young,2013-03-01,Caucasian,1,Male,Medium,2014-08-26
adult,2013-01-02,African-American,1,Male,High,2013-04-13
senior,2013-01-23,Caucasian,1,Male,Low,2013-11-18
senior,2014-08-16,African-American,1,Male,Low,2015-03-29
senior,,Caucasian,1,Male,Low,2015-10-05
adult,2014-01-15,African-American,1,Male,Low,2015-04-10
adult,2013-02-22,Caucasian,1,Male,Low,2013-10-08
adult,2013-11-11,Caucasian,1,Male,Medium,2015-02-21
adult,,African-American,1,Male,Low,2014-06-16
adult,2014-06-24,African-American,1,Male,High,2014-08-13
adult,2013-05-24,African-American,1,Male,Medium,2014-04-27
adult,,African-American,1,Male,Low,2014-06-11
young,2013-02-19,Caucasian,1,Male,Medium,2015-08-15
adult,2013-10-30,African-American,1,Male,Low,2015-05-25
adult,2014-03-03,African-American,1,Male,Medium,2015-09-07
young,2014-08-24,African-American,1,Male,Low,2015-10-14
adult,2013-09-11,African-American,1,Male,Medium,2015-04-30
young,2013-12-14,Caucasian,1,Male,Low,2014-01-09
adult,2013-12-26,African-American,1,Male,Low,2014-11-24
adult,2014-06-06,African-American,1,Male,Low,2015-04-28
adult,2014-04-05,Caucasian,1,Male,Medium,2016-01-11
adult,2013-05-11,African-American,1,Male,Low,2015-12-14
adult,2012-06-12,African-American,1,Male,Low,2013-07-19
adult,2013-02-28,African-American,1,Male,Medium,2015-03-07
young,2013-07-23,African-American,1,Male,Medium,2013-12-18
adult,2013-02-10,African-American,1,Male,Medium,2013-05-17
senior,2013-03-23,African-American,1,Male,Medium,2015-08-23
adult,2013-02-01,African-American,1,Male,Medium,2015-06-13
young,2013-12-30,African-American,1,Male,High,2014-09-08
young,2014-03-26,African-American,1,Male,High,2014-12-26
young,,African-American,1,Male,High,2014-06-06
adult,2014-10-25,Caucasian,1,Male,Low,2015-07-12
adult,2013-02-25,Caucasian,1,Male,Low,2014-04-03
young,2013-04-09,Caucasian,1,Male,Medium,2013-07-08
adult,2014-04-09,African-American,1,Male,Medium,2014-06-14
adult,2013-12-27,Hispanic,1,Male,Low,2014-10-07
young,2013-12-18,African-American,1,Male,Medium,2014-11-11
senior,2013-02-11,Caucasian,1,Male,Low,2016-01-03
young,2014-11-08,African-American,1,Male,Medium,2015-01-08
adult,2014-10-04,African-American,1,Male,Low,2014-11-16
adult,2013-03-23,Hispanic,1,Male,Medium,2015-08-15
senior,2013-04-24,African-American,1,Male,Low,2014-06-08
adult,2013-05-05,Caucasian,1,Male,Low,2013-06-16
adult,2014-07-13,Caucasian,1,Male,Low,2014-09-17
young,2013-02-09,African-American,1,Male,Medium,2014-02-13
adult,2013-01-16,African-American,1,Male,Medium,2015-01-04
young,2014-09-17,African-American,1,Male,High,2015-10-04
adult,2013-04-22,African-American,1,Male,High,2014-08-28
adult,2013-05-25,African-American,1,Male,High,2013-08-24
senior,2013-02-22,African-American,1,Male,Low,2014-07-31
adult,2014-09-19,Caucasian,1,Male,Medium,2015-04-12
adult,2014-03-20,African-American,1,Male,Low,2015-06-15
adult,2013-01-06,Caucasian,1,Male,Low,2013-10-06
adult,2013-02-27,African-American,1,Male,High,2014-05-05
adult,2014-09-04,African-American,1,Male,Low,2016-02-09
adult,2013-10-21,African-American,1,Male,Low,2015-08-10
adult,2013-02-09,Hispanic,1,Male,Low,2015-08-01
adult,2014-08-28,Other,1,Male,Medium,2015-05-14
young,,African-American,1,Female,Medium,2014-05-01
young,2014-11-01,African-American,1,Male,Medium,2015-03-30
adult,2013-07-03,Caucasian,1,Male,Medium,2014-03-15
senior,2013-02-04,Caucasian,1,Male,Medium,2014-05-04
adult,2014-06-20,Caucasian,1,Male,Medium,2016-01-06
adult,2013-03-25,African-American,1,Male,Low,2013-10-09
adult,2013-01-14,Caucasian,1,Male,Medium,2013-05-03
adult,2013-10-18,African-American,1,Male,Low,2015-04-01
young,2013-02-19,African-American,1,Male,High,2014-01-20
adult,2014-10-22,African-American,1,Male,High,2016-01-05
young,,Caucasian,1,Female,High,2014-12-21
adult,2014-05-08,African-American,1,Male,Medium,2015-12-13
adult,2013-10-14,African-American,1,Male,Low,2014-05-01
young,2013-01-28,Caucasian,1,Male,Medium,2013-06-29
young,2013-01-10,African-American,1,Female,Medium,2015-06-26
young,2013-08-10,African-American,1,Male,High,2014-06-18
adult,,African-American,1,Male,Low,2015-08-29
young,2013-03-07,African-American,1,Male,Medium,2013-07-20
young,,African-American,1,Male,High,2015-01-11
adult,,African-American,1,Male,Medium,2015-01-01
adult,2013-10-11,African-American,1,Male,Medium,2016-01-18
young,2013-11-13,African-American,1,Male,Medium,2014-05-03
senior,,African-American,1,Male,Low,2015-11-04
adult,2014-05-15,Caucasian,1,Male,Low,2016-02-25
adult,,African-American,1,Female,Medium,2015-12-01
adult,2013-05-11,Caucasian,1,Male,Medium,2013-10-05
adult,2013-01-08,African-American,1,Male,Medium,2014-08-20
adult,,Hispanic,1,Male,Low,2016-01-22
senior,2013-08-22,African-American,1,Male,Low,2015-01-23
senior,2013-04-13,African-American,1,Male,Low,2015-06-12
young,2013-09-21,Hispanic,1,Male,Medium,2014-05-21
adult,,African-American,1,Male,Medium,2014-10-02
young,2013-05-15,Caucasian,1,Female,Medium,2013-12-15
adult,2013-05-17,African-American,1,Male,Medium,2013-07-05
adult,2014-10-04,Caucasian,1,Male,Medium,2015-10-16
adult,2012-12-14,Hispanic,1,Male,Medium,2015-08-04
adult,2014-02-26,African-American,1,Male,High,2016-01-05
young,2014-09-22,African-American,1,Male,Medium,2014-10-16
adult,2014-11-13,Caucasian,1,Male,Low,2015-04-28
senior,,Hispanic,1,Male,Low,2015-04-30
adult,2014-09-26,African-American,1,Male,Low,2015-02-08
young,,Asian,1,Male,Low,2014-10-15
adult,2013-08-06,Other,1,Male,Medium,2013-08-28
young,2013-01-17,African-American,1,Male,Medium,2014-06-21
senior,2012-12-12,Caucasian,1,Female,Low,2013-12-16
young,2014-05-21,African-American,1,Male,Low,2015-03-12
adult,2014-04-23,African-American,1,Male,Medium,2014-10-12
adult,2014-01-26,Caucasian,1,Male,Low,2014-05-17
adult,2013-07-29,African-American,1,Male,High,2015-02-19
adult,2014-06-15,African-American,1,Male,Medium,2015-10-01
senior,2013-07-23,Caucasian,1,Male,Low,2014-04-24
young,,Caucasian,1,Male,Medium,2015-09-04
adult,,Caucasian,1,Male,Low,2014-05-04
adult,2013-04-02,African-American,1,Male,Medium,2015-06-16
adult,,African-American,1,Male,Medium,2015-12-14
adult,2013-08-15,African-American,1,Male,Medium,2014-07-18
senior,2013-11-07,Caucasian,1,Male,Low,2015-03-09
young,2013-12-30,Hispanic,1,Male,Medium,2014-06-01
adult,,African-American,1,Male,Low,2015-03-13
young,2013-09-14,African-American,1,Female,Medium,2015-01-02
young,2014-01-01,African-American,1,Female,High,2014-06-05
adult,2014-10-27,Caucasian,1,Male,Low,2014-10-30
adult,2013-01-22,African-American,1,Male,High,2014-01-06
young,,African-American,1,Male,Medium,2014-10-29
senior,2013-04-14,Caucasian,1,Male,Low,2013-09-13
adult,2014-04-17,Caucasian,1,Male,Low,2014-09-19
adult,2013-07-20,African-American,1,Male,High,2013-10-12
adult,2013-05-16,Caucasian,1,Female,Low,2014-02-08
adult,2014-03-21,African-American,1,Male,Low,2015-01-26
adult,2013-05-02,African-American,1,Female,Low,2016-03-06
adult,2013-09-26,African-American,1,Male,Low,2015-10-07
young,2014-09-21,African-American,1,Male,Medium,2015-07-21
young,2013-05-24,African-American,1,Male,High,2013-06-18
adult,2014-10-27,African-American,1,Male,Medium,2014-12-31
adult,2013-09-23,Hispanic,1,Male,Low,2014-07-04
adult,2014-07-19,African-American,1,Female,Low,2015-10-10
adult,2013-01-07,African-American,1,Male,High,2013-03-31
young,2014-02-13,African-American,1,Male,High,2015-08-09
senior,2013-08-02,Caucasian,1,Male,Low,2013-11-04
young,2014-10-19,African-American,1,Male,Medium,2015-08-28
adult,2014-08-25,African-American,1,Male,Medium,2015-06-01
adult,2013-12-16,Other,1,Male,Low,2015-11-03
young,,Native American,1,Male,High,2015-01-21
young,2013-04-29,African-American,1,Male,High,2015-07-24
adult,2014-07-05,African-American,1,Male,Medium,2015-02-18
young,2013-03-14,African-American,1,Male,High,2015-09-09
adult,,Caucasian,1,Male,Low,2015-06-13
adult,2014-09-30,African-American,1,Male,Medium,2015-07-25
adult,2013-01-24,Caucasian,1,Male,Low,2013-05-23
adult,2014-10-31,African-American,1,Male,Medium,2015-04-19
senior,2014-10-29,Caucasian,1,Male,Low,2015-03-20
young,2013-11-07,African-American,1,Male,Medium,2015-08-23
senior,2013-08-08,Caucasian,1,Male,Low,2014-01-04
adult,2014-02-17,African-American,1,Male,Low,2014-06-08
adult,2013-05-02,Other,1,Male,High,2013-07-25
young,2013-10-17,Caucasian,1,Male,High,2015-11-28
adult,2013-01-22,African-American,1,Male,Medium,2013-12-28
senior,,Caucasian,1,Male,Low,2013-02-11
senior,2013-01-17,Caucasian,1,Male,Low,2015-03-08
adult,2014-11-06,Caucasian,1,Male,Low,2015-09-17
adult,2013-09-28,African-American,1,Male,High,2014-05-05
adult,2014-05-16,Other,1,Male,Low,2015-08-15
adult,,African-American,1,Male,Medium,2014-03-12
young,2013-09-22,Caucasian,1,Male,High,2015-04-24
adult,2014-02-28,African-American,1,Female,Low,2014-09-16
adult,2014-07-03,Caucasian,1,Male,Low,2014-11-01
adult,2013-12-02,Caucasian,1,Female,Medium,2014-11-06
senior,2013-01-21,Caucasian,1,Male,Medium,2015-03-27
adult,,Caucasian,1,Female,Medium,2015-09-19
adult,,African-American,1,Male,Low,2015-06-13
young,2014-01-30,African-American,1,Male,Medium,2016-02-03
young,2014-10-12,Hispanic,1,Male,High,2015-07-09
adult,2014-09-18,African-American,1,Male,Medium,2015-12-16
adult,,African-American,1,Male,Medium,2015-10-01
young,2014-08-21,African-American,1,Male,Medium,2015-02-14
young,,African-American,1,Male,Medium,2016-02-04
senior,,African-American,1,Male,Medium,2015-03-04
adult,2013-03-18,Caucasian,1,Male,Low,2014-01-05
young,,African-American,1,Male,High,2014-09-28
adult,2013-12-10,Hispanic,1,Female,Low,2015-06-27
adult,,Other,1,Male,Low,2015-10-05
adult,,African-American,1,Female,High,2013-11-05
young,2014-03-01,African-American,1,Male,Low,2014-10-25
adult,2013-03-17,African-American,1,Female,Low,2014-03-27
adult,2014-07-19,African-American,1,Male,Medium,2014-09-02
young,2012-11-24,African-American,1,Male,High,2013-09-04
adult,2013-02-06,African-American,1,Male,Medium,2014-07-24
adult,,African-American,1,Male,Low,2014-06-26
adult,2013-11-07,African-American,1,Male,Low,2014-07-25
senior,2013-09-07,Other,1,Male,Low,2015-02-18
senior,2013-09-10,Other,1,Male,Low,2016-02-17
adult,2012-08-09,African-American,1,Male,Medium,2014-05-10
adult,2013-08-20,African-American,1,Male,Medium,2015-05-10
adult,,African-American,1,Male,Medium,2014-06-23
adult,2014-10-01,Hispanic,1,Male,Low,2015-02-02
adult,2014-09-22,Caucasian,1,Male,Low,2015-05-07
senior,2014-06-22,African-American,1,Female,Low,2016-03-06
senior,2004-05-15,African-American,1,Male,Low,2016-02-22
senior,2014-11-27,African-American,1,Male,Low,2015-01-19
senior,2013-11-27,African-American,1,Male,Low,2014-06-30
adult,,African-American,1,Male,Medium,2014-09-06
adult,2014-06-11,Caucasian,1,Female,Medium,2015-08-16
adult,2014-12-16,African-American,1,Female,Low,2015-12-28
senior,2013-04-23,African-American,1,Male,Low,2013-10-12
young,2013-09-13,African-American,1,Male,High,2014-09-24
young,2013-02-13,African-American,1,Male,High,2013-08-19
senior,2013-08-08,Caucasian,1,Female,Low,2013-09-11
adult,2014-10-26,African-American,1,Male,Low,2015-04-27
young,2013-04-17,African-American,1,Male,High,2013-08-28
senior,2014-06-30,African-American,1,Male,Low,2014-11-29
adult,2013-01-14,African-American,1,Female,Low,2014-05-02
young,2014-11-22,African-American,1,Male,High,2015-01-21
young,2013-10-01,African-American,1,Male,Medium,2015-12-07
young,2013-09-13,Caucasian,1,Male,High,2015-01-07
adult,,African-American,1,Male,Low,2013-06-07
adult,2013-09-07,African-American,1,Male,High,2014-07-22
adult,,African-American,1,Female,Low,2013-07-27
adult,2013-01-28,African-American,1,Male,Low,2013-07-31
adult,2013-08-29,African-American,1,Male,Low,2013-12-22
adult,2013-02-05,Other,1,Female,Low,2015-06-12
adult,2014-03-08,Caucasian,1,Male,Medium,2015-12-31
adult,2012-01-07,Hispanic,1,Male,Low,2015-10-10
adult,,African-American,1,Male,Medium,2013-11-08
senior,2014-07-19,Hispanic,1,Male,Low,2014-11-23
senior,,Caucasian,1,Male,Low,2015-12-31
adult,2013-07-03,African-American,1,Male,Low,2013-10-31
adult,2014-07-03,African-American,1,Male,Low,2015-11-25
adult,2014-03-12,African-American,1,Male,High,2014-03-25
young,2013-08-29,African-American,1,Male,Medium,2014-04-19
adult,2013-03-22,Hispanic,1,Male,Low,2014-07-28
adult,2014-07-28,African-American,1,Female,Low,2015-01-27
senior,2014-08-11,Caucasian,1,Male,Low,2015-04-27
adult,2013-08-18,Hispanic,1,Female,Low,2014-07-20
adult,2013-02-07,African-American,1,Male,Medium,2013-05-09
adult,2014-11-22,Caucasian,1,Male,Low,2015-04-02
adult,2013-01-06,African-American,1,Male,Medium,2016-01-13
adult,2013-12-06,African-American,1,Male,High,2014-02-07
young,2010-11-16,African-American,1,Male,High,2015-07-02
adult,2013-12-28,African-American,1,Male,High,2015-05-20
adult,,African-American,1,Male,Low,2014-08-30
adult,,Hispanic,1,Male,High,2015-08-21
adult,2013-04-27,African-American,1,Male,Medium,2015-12-21
adult,2013-04-03,African-American,1,Male,Low,2015-09-12
young,2013-01-21,African-American,1,Female,Medium,2013-11-03
adult,2014-04-29,Caucasian,1,Female,Low,2015-11-08
senior,2014-07-05,African-American,1,Male,High,2016-02-08
adult,2014-07-27,Hispanic,1,Male,Low,2015-02-05
adult,,Caucasian,1,Male,Low,2015-03-02
adult,2013-09-22,Other,1,Male,Low,2013-12-28
adult,2013-12-07,Caucasian,1,Male,Low,2014-04-22
adult,,African-American,1,Male,Low,2015-08-25
adult,2013-11-01,Other,1,Male,Low,2016-02-07
young,2013-03-06,African-American,1,Male,High,2014-06-10
adult,2013-03-09,Hispanic,1,Male,Low,2013-05-14
adult,2013-03-20,African-American,1,Male,Low,2013-11-26
adult,2013-05-15,African-American,1,Male,Medium,2016-02-15
adult,2014-08-24,African-American,1,Male,High,2014-12-10
young,2014-03-17,African-American,1,Female,Low,2015-03-26
adult,2013-05-03,Other,1,Male,Low,2015-01-27
adult,,African-American,1,Male,Low,2014-09-17
adult,2014-02-18,African-American,1,Male,Low,2014-08-27
adult,2014-11-21,Caucasian,1,Female,Low,2015-10-14
adult,2014-05-07,Caucasian,1,Male,Low,2015-06-26
adult,,African-American,1,Male,Low,2014-05-04
young,,Caucasian,1,Female,Medium,2014-08-08
young,2014-06-06,African-American,1,Male,Medium,2014-07-13
adult,2013-03-18,Caucasian,1,Female,Low,2014-07-20
adult,2014-10-08,Caucasian,1,Male,Low,2015-09-09
adult,2014-10-05,Hispanic,1,Male,Low,2015-12-25
young,2014-03-03,Hispanic,1,Male,Low,2014-05-27
adult,2014-10-20,Caucasian,1,Male,Low,2016-01-28
senior,2014-04-10,African-American,1,Male,Medium,2014-04-18
young,2014-03-25,African-American,1,Male,Medium,2015-03-06
adult,2013-12-15,African-American,1,Female,Low,2014-04-05
adult,2014-10-15,African-American,1,Male,Low,2015-06-09
young,2013-02-22,African-American,1,Male,High,2013-04-25
young,2014-06-13,African-American,1,Male,Low,2014-07-08
young,2014-06-06,African-American,1,Male,High,2015-05-15
senior,2013-04-08,African-American,1,Male,Low,2013-07-13
adult,2014-06-12,Caucasian,1,Male,Low,2015-05-22
young,2014-12-30,African-American,1,Male,Medium,2015-06-26
adult,,Caucasian,1,Male,Medium,2014-04-30
young,2014-07-08,Asian,1,Male,High,2015-01-05
adult,2013-12-05,Caucasian,1,Female,Medium,2014-02-09
adult,2013-07-08,African-American,1,Male,Medium,2014-02-10
adult,2014-01-07,African-American,1,Male,Low,2015-07-17
senior,2013-05-07,African-American,1,Male,Low,2015-03-09
adult,,Asian,1,Male,Medium,2014-11-26
adult,2014-05-22,African-American,1,Female,Low,2015-05-08
adult,2013-04-14,Caucasian,1,Male,Medium,2015-04-27
young,2013-05-13,African-American,1,Male,Medium,2013-08-06
adult,,African-American,1,Male,Low,2015-01-14
adult,2013-03-29,Caucasian,1,Male,Low,2013-05-10
young,,African-American,1,Male,Low,2014-07-10
adult,2014-12-19,Caucasian,1,Female,Low,2015-12-05
young,,Caucasian,1,Male,High,2014-11-16
senior,2013-03-11,African-American,1,Male,Low,2015-10-14
young,2013-10-09,African-American,1,Male,Medium,2014-01-09
young,2013-11-16,African-American,1,Male,Medium,2014-11-22
adult,2013-12-14,African-American,1,Male,High,2015-06-19
adult,2013-02-07,African-American,1,Male,Low,2014-01-21
adult,,Hispanic,1,Male,Medium,2014-08-08
young,2014-09-17,African-American,1,Male,High,2015-02-03
adult,2013-08-20,African-American,1,Female,Low,2015-07-16
young,2013-02-08,African-American,1,Male,Medium,2013-02-12
adult,,African-American,1,Female,Low,2013-12-16
adult,2014-05-02,Caucasian,1,Male,Low,2014-08-22
young,2013-02-10,African-American,1,Male,High,2014-03-23
adult,2014-03-21,African-American,1,Male,Low,2015-04-15
adult,2013-10-29,African-American,1,Male,Low,2015-07-26
young,2013-05-04,African-American,1,Male,Medium,2014-11-10
adult,2014-07-05,Caucasian,1,Male,Low,2015-06-27
adult,2014-09-01,African-American,1,Male,Medium,2015-08-03
senior,2013-08-01,Caucasian,1,Male,Low,2014-11-03
senior,2014-06-30,Caucasian,1,Male,Low,2014-10-24
young,2013-01-16,Native American,1,Female,Medium,2013-12-29
adult,2013-02-03,African-American,1,Male,High,2013-08-22
adult,2013-02-24,African-American,1,Male,High,2014-04-05
adult,,African-American,1,Male,High,2015-12-13
adult,2014-03-26,African-American,1,Male,Low,2014-12-15
adult,,African-American,1,Male,Medium,2013-04-30
young,2014-03-22,African-American,1,Female,Low,2014-07-28
senior,2014-02-23,Hispanic,1,Male,Low,2016-01-01
adult,2013-10-13,African-American,1,Female,Low,2015-10-17
adult,2013-04-05,African-American,1,Male,Medium,2015-07-27
adult,2014-11-18,African-American,1,Female,Low,2015-09-04
adult,2014-08-30,African-American,1,Male,Low,2015-09-07
adult,2014-11-04,African-American,1,Male,High,2015-01-03
senior,2013-10-12,Caucasian,1,Male,Low,2013-12-22
young,,African-American,1,Male,High,2014-09-30
adult,2013-01-01,African-American,1,Male,Medium,2013-05-07
adult,2013-09-29,Caucasian,1,Female,Low,2013-12-03
adult,2013-11-08,African-American,1,Male,Medium,2014-08-09
adult,2013-03-20,African-American,1,Male,Low,2015-10-10
adult,2013-05-11,African-American,1,Male,Low,2013-07-06
adult,2014-09-14,Native American,1,Female,Low,2015-10-01
young,2013-05-27,African-American,1,Male,Medium,2014-01-11
adult,2014-05-28,Other,1,Male,Medium,2015-03-02
adult,2013-08-08,Caucasian,1,Male,Low,2014-09-28
young,2014-09-03,African-American,1,Female,Low,2014-09-20
young,2013-01-14,African-American,1,Male,Medium,2014-05-15
senior,,African-American,1,Male,Medium,2015-09-07
senior,,African-American,1,Male,Medium,2014-09-24
senior,2013-09-23,African-American,1,Male,Medium,2015-02-28
senior,,Caucasian,1,Female,Low,2015-09-08
young,2013-03-30,African-American,1,Male,Medium,2013-04-30
adult,,African-American,1,Male,Low,2015-12-21
adult,,African-American,1,Female,High,2013-07-27
adult,2014-08-19,African-American,1,Male,Medium,2014-10-23
senior,2013-02-22,Caucasian,1,Female,Low,2013-03-26
adult,2013-04-20,African-American,1,Male,Medium,2015-04-20
adult,2013-03-21,Other,1,Male,Low,2015-03-16
adult,2013-12-12,Caucasian,1,Male,Low,2015-10-08
young,2013-01-21,African-American,1,Male,Medium,2013-08-26
adult,2014-03-28,African-American,1,Male,Low,2014-12-05
adult,2013-04-09,African-American,1,Male,Medium,2015-10-22
senior,2013-12-09,African-American,1,Male,High,2015-12-20
adult,2014-07-22,Caucasian,1,Male,Low,2015-06-24
young,,African-American,1,Male,High,2014-10-24
