age_cat,c_offense_date,ethnicity,is_recid,r_offense_date,score_text,sex
adult,2014-01-16,Caucasian,1,2014-08-20,High,Male
young,2013-11-03,Other,1,2013-11-13,High,Male
adult,2013-08-30,African-American,1,2013-09-30,Low,Female
adult,2014-10-10,African-American,1,2015-02-25,Low,Male
adult,2013-08-10,African-American,1,2013-09-27,Low,Male
adult,2013-02-06,African-American,1,2013-02-25,High,Male
young,2013-03-20,Caucasian,1,2014-10-30,Medium,Male
adult,2013-05-11,Caucasian,1,2013-08-26,Low,Female
young,2013-08-04,Caucasian,1,2013-08-20,High,Male
senior,2013-04-08,Caucasian,1,2014-07-20,Low,Male
adult,2013-04-18,African-American,1,2013-05-02,High,Male
adult,2013-11-10,Caucasian,1,2013-12-10,Low,Female
adult,2013-01-24,African-American,1,2014-06-12,Medium,Female
adult,2014-01-18,Caucasian,1,2014-02-23,Medium,Male
young,2014-07-08,African-American,1,2015-06-26,High,Male
adult,2014-12-08,Hispanic,1,2015-03-30,Medium,Male
young,2014-10-07,Caucasian,1,2015-05-07,Low,Male
young,2013-05-24,African-American,1,2013-05-30,Low,Male
adult,2014-08-03,Other,1,2014-12-13,Low,Male
adult,2013-10-28,Caucasian,1,2015-02-20,Low,Male
adult,2014-10-08,Hispanic,1,2015-01-23,Low,Male
adult,2014-10-19,African-American,1,2015-01-28,High,Female
young,2014-09-22,Caucasian,1,2015-11-08,Medium,Male
young,2014-08-22,African-American,1,2014-09-24,High,Female
senior,2014-08-02,African-American,1,2015-07-18,Low,Male
adult,2014-06-13,African-American,1,2014-11-01,High,Male
adult,2013-04-02,Caucasian,1,2013-05-31,Medium,Male
adult,2014-06-06,Caucasian,1,2014-07-28,High,Male
senior,2013-03-20,Caucasian,1,2013-04-22,Low,Male
young,2013-04-20,African-American,1,2013-12-09,High,Male
adult,2013-01-31,African-American,1,2013-09-20,Low,Male
adult,2014-01-09,African-American,1,2014-08-25,Low,Male
adult,2013-08-05,African-American,1,2013-09-03,Medium,Male
adult,2013-09-20,African-American,1,2013-12-24,Low,Male
adult,2014-05-14,African-American,1,2014-08-06,High,Male
adult,2013-11-04,African-American,1,2014-07-12,Medium,Male
young,2013-11-27,African-American,1,2014-05-05,High,Male
adult,2013-11-22,African-American,1,2015-03-20,Low,Female
adult,2013-02-13,Caucasian,1,2013-11-19,Medium,Male
adult,2013-03-13,African-American,1,2013-08-08,High,Male
young,2014-10-23,African-American,1,2014-10-27,Medium,Male
adult,2013-09-14,African-American,1,2014-01-14,Low,Male
senior,2013-11-21,African-American,1,2015-01-03,Medium,Male
adult,2013-03-20,African-American,1,2015-09-10,High,Male
adult,2014-06-29,Caucasian,1,2015-12-30,Medium,Male
adult,2014-04-19,Caucasian,1,2014-06-28,Low,Male
young,2013-12-12,African-American,1,2014-02-21,Medium,Male
senior,2013-05-05,Caucasian,1,2015-08-26,Low,Male
adult,2014-12-05,Caucasian,1,2015-02-25,Low,Male
adult,2013-09-16,African-American,1,2014-07-01,Low,Male
young,2013-03-13,African-American,1,2013-03-19,Medium,Male
young,2014-04-03,African-American,1,2014-09-18,High,Male
adult,2013-03-24,Caucasian,1,2015-10-08,Medium,Male
adult,2014-09-01,African-American,1,2016-03-29,Low,Male
young,2013-11-14,African-American,1,2015-12-19,Low,Male
senior,2013-01-21,Caucasian,1,2013-02-28,Low,Male
senior,2014-01-10,Other,1,2014-05-16,Low,Male
adult,2014-01-21,African-American,1,2014-10-25,High,Male
adult,2013-04-21,Caucasian,1,2013-07-20,Low,Male
adult,2013-08-23,Caucasian,1,2015-05-13,Low,Female
adult,2014-07-12,African-American,1,2015-02-05,High,Female
adult,2014-02-07,African-American,1,2014-07-16,Low,Male
adult,2014-08-28,African-American,1,2014-10-18,High,Male
adult,2013-02-19,Caucasian,1,2013-06-18,Low,Male
young,2014-02-05,African-American,1,2014-04-13,High,Male
senior,2013-04-10,Caucasian,1,2014-08-06,Medium,Male
young,2014-12-05,African-American,1,2015-09-02,Low,Female
senior,2013-01-23,African-American,1,2013-06-24,Low,Male
adult,2013-05-02,African-American,1,2014-12-14,High,Female
adult,2013-10-28,Caucasian,1,2014-03-20,Low,Male
adult,2014-09-09,African-American,1,2014-09-30,Low,Male
adult,2013-09-22,Other,1,2014-03-26,Low,Male
adult,2013-08-25,African-American,1,2015-08-12,High,Male
adult,2013-09-12,African-American,1,2014-03-16,Medium,Female
young,2014-09-13,Caucasian,1,2015-02-25,Medium,Male
adult,2013-02-10,Caucasian,1,2014-09-28,Low,Male
young,2013-04-18,African-American,1,2013-05-05,Low,Male
adult,2014-03-25,Caucasian,1,2014-09-11,Low,Female
adult,2014-01-28,African-American,1,2014-04-29,Medium,Male
adult,2013-08-26,African-American,1,2014-06-26,Medium,Male
adult,2014-03-23,Hispanic,1,2015-08-22,Low,Male
young,2014-07-14,African-American,1,2015-03-31,Medium,Male
adult,2014-01-10,African-American,1,2015-02-27,Medium,Female
senior,2014-01-15,African-American,1,2014-12-15,Low,Male
senior,2014-09-22,Caucasian,1,2014-10-20,Low,Male
adult,2013-02-08,Caucasian,1,2014-03-07,Medium,Male
young,2014-10-27,African-American,1,2015-05-08,Low,Male
young,2013-03-23,Caucasian,1,2013-10-14,High,Male
adult,2014-12-17,African-American,1,2015-03-10,Low,Male
adult,2014-11-12,African-American,1,2015-01-12,High,Male
adult,2013-01-04,African-American,1,2013-06-29,High,Male
adult,2013-03-01,African-American,1,2013-03-21,High,Male
young,2014-12-27,Caucasian,1,2015-04-17,Medium,Female
young,2014-10-21,African-American,1,2014-11-03,Low,Male
senior,2014-04-08,Caucasian,1,2014-05-07,Low,Male
senior,2013-11-09,Caucasian,1,2014-04-09,Low,Male
adult,2013-01-21,Hispanic,1,2013-02-24,Low,Male
adult,2013-04-08,African-American,1,2013-08-10,High,Male
adult,2013-05-18,African-American,1,2013-10-18,High,Male
young,2014-03-25,Caucasian,1,2015-08-17,High,Female
adult,2014-08-16,African-American,1,2014-10-27,Low,Male
young,2014-05-09,Caucasian,1,2014-10-29,High,Male
adult,2013-05-10,Caucasian,1,2014-01-31,Medium,Male
senior,2014-11-03,Caucasian,1,2014-11-17,Medium,Male
young,2013-09-26,African-American,1,2013-12-11,High,Male
young,2013-06-08,Hispanic,1,2013-07-26,Medium,Female
adult,2014-11-14,African-American,1,2015-09-16,Medium,Male
young,2013-12-30,Caucasian,1,2014-02-25,Medium,Male
young,2014-01-29,African-American,1,2015-01-19,Low,Female
adult,2013-03-01,African-American,1,2014-05-30,Medium,Male
young,2013-11-01,Hispanic,1,2014-07-24,Low,Male
adult,2013-01-14,African-American,1,2016-01-12,High,Male
senior,2013-05-28,African-American,1,2014-03-31,High,Male
adult,2013-09-21,African-American,1,2014-10-10,High,Male
adult,2012-12-16,Hispanic,1,2013-02-06,Low,Male
adult,2013-05-13,African-American,1,2013-08-05,Medium,Male
young,2014-06-20,African-American,1,2014-12-13,High,Male
young,2013-02-01,African-American,1,2013-10-22,Medium,Female
adult,2014-04-04,African-American,1,2014-08-11,High,Male
young,2013-08-07,African-American,1,2013-09-05,Low,Male
young,2014-09-08,African-American,1,2015-11-04,Low,Male
senior,2013-08-10,Caucasian,1,2014-04-13,Low,Female
adult,2013-10-29,Caucasian,1,2014-02-08,Low,Female
young,2013-03-06,African-American,1,2015-12-31,Low,Male
adult,2013-08-12,African-American,1,2013-08-22,High,Male
senior,2013-09-16,African-American,1,2013-10-26,Medium,Male
adult,2013-03-20,African-American,1,2013-03-22,Low,Male
young,2013-05-09,Caucasian,1,2013-09-28,High,Male
adult,2013-05-26,African-American,1,2013-09-12,High,Male
adult,2013-02-23,African-American,1,2014-04-18,Low,Male
adult,2013-12-09,Caucasian,1,2014-04-26,Medium,Male
adult,2013-09-28,Hispanic,1,2014-05-05,Medium,Male
senior,2013-05-27,African-American,1,2014-02-19,Medium,Male
young,2014-01-19,Hispanic,1,2015-02-10,Medium,Male
adult,2014-01-21,Caucasian,1,2016-01-29,Low,Female
adult,2013-01-23,Caucasian,1,2013-06-24,Low,Male
adult,2013-01-06,Caucasian,1,2014-11-23,Medium,Male
adult,2013-05-01,African-American,1,2014-10-14,High,Male
senior,2014-07-19,African-American,1,2014-11-06,Low,Male
young,2014-06-11,Caucasian,1,2014-12-04,Low,Male
young,2014-02-13,African-American,1,2014-04-09,High,Male
senior,2013-11-29,Caucasian,1,2015-08-05,Medium,Female
senior,2013-09-26,Caucasian,1,2014-03-25,Low,Male
adult,2013-08-29,African-American,1,2014-03-03,High,Male
adult,2014-04-25,Caucasian,1,2015-09-06,Medium,Male
adult,2013-02-17,African-American,1,2013-07-26,Medium,Male
adult,2013-11-06,African-American,1,2014-12-27,Medium,Male
senior,2013-12-04,Caucasian,1,2014-06-26,Low,Female
adult,2014-05-28,African-American,1,2014-09-24,Medium,Male
young,2013-12-23,African-American,1,2014-02-15,Medium,Female
senior,2013-01-03,Caucasian,1,2013-02-25,Medium,Male
adult,2014-01-04,African-American,1,2014-08-14,Medium,Female
young,2014-02-12,Caucasian,1,2014-03-27,Low,Male
young,2013-10-30,African-American,1,2013-11-04,Medium,Male
young,2013-10-08,African-American,1,2013-10-13,High,Male
adult,2014-10-22,African-American,1,2015-06-24,High,Male
adult,2014-11-14,African-American,1,2015-07-05,Medium,Male
adult,2012-12-07,African-American,1,2013-05-04,Low,Male
adult,2004-10-23,African-American,1,2014-03-27,High,Male
adult,2013-01-22,African-American,1,2014-11-16,Low,Male
young,2014-04-16,African-American,1,2016-02-05,Medium,Male
young,2014-07-03,Caucasian,1,2015-05-27,Medium,Male
adult,2013-03-30,African-American,1,2014-12-28,Medium,Male
adult,2014-11-21,Caucasian,1,2014-12-30,High,Male
adult,2013-02-07,African-American,1,2013-04-01,Medium,Male
young,2013-07-27,Caucasian,1,2013-09-14,High,Male
adult,2014-12-17,Caucasian,1,2015-02-08,High,Female
adult,2013-01-20,Other,1,2013-02-02,Low,Male
adult,2013-01-01,African-American,1,2015-02-25,High,Male
young,2013-08-02,African-American,1,2013-10-11,High,Male
adult,2014-06-10,African-American,1,2015-01-20,Medium,Female
adult,2013-03-17,Caucasian,1,2013-08-04,Medium,Female
young,2013-04-02,Caucasian,1,2015-08-10,Medium,Male
young,2014-05-26,Caucasian,1,2014-12-19,Medium,Male
senior,2014-03-29,Other,1,2015-02-16,Low,Male
young,2014-07-09,African-American,1,2014-09-27,Medium,Male
adult,2014-05-18,Caucasian,1,2015-09-03,Low,Male
adult,2013-04-19,African-American,1,2013-12-12,Medium,Male
adult,2014-11-14,African-American,1,2015-03-14,Low,Male
adult,2013-02-01,African-American,1,2015-07-28,Low,Female
adult,2014-01-12,African-American,1,2014-06-25,High,Male
adult,2014-01-21,African-American,1,2014-03-18,High,Male
adult,2014-11-13,Caucasian,1,2016-01-04,Medium,Male
senior,2013-05-08,African-American,1,2013-11-15,Low,Male
adult,2013-01-16,African-American,1,2015-07-21,Medium,Male
senior,2013-11-18,African-American,1,2015-04-14,High,Male
adult,2013-03-18,Caucasian,1,2013-09-22,Medium,Male
adult,2014-07-26,Caucasian,1,2015-11-08,High,Male
adult,2013-12-02,Caucasian,1,2014-04-04,Low,Male
adult,2013-03-21,Caucasian,1,2013-06-15,Medium,Female
adult,2013-11-12,African-American,1,2015-07-05,High,Male
adult,2013-09-22,African-American,1,2014-07-11,Medium,Female
adult,2013-03-21,African-American,1,2013-03-26,High,Male
adult,2013-05-01,African-American,1,2014-07-13,High,Male
young,2013-01-17,African-American,1,2015-09-07,Low,Male
adult,2014-06-05,Caucasian,1,2015-02-05,Low,Male
adult,2013-02-06,African-American,1,2013-02-15,Low,Male
senior,2013-07-17,Caucasian,1,2014-09-15,Low,Female
senior,2014-06-22,Caucasian,1,2016-01-26,Low,Female
adult,2013-12-04,African-American,1,2014-08-07,Low,Male
adult,2013-03-10,Caucasian,1,2013-04-11,Low,Male
adult,2014-05-14,Caucasian,1,2014-09-19,Medium,Male
adult,2013-02-13,African-American,1,2013-02-23,Low,Female
young,2014-04-18,African-American,1,2014-08-24,Low,Male
adult,2013-04-12,African-American,1,2013-08-29,Medium,Male
senior,2014-10-21,Caucasian,1,2015-06-01,Low,Male
young,2013-07-01,African-American,1,2013-09-11,Medium,Male
senior,2013-01-22,African-American,1,2014-12-08,Medium,Male
adult,2014-12-08,African-American,1,2014-12-14,High,Male
adult,2013-07-13,Caucasian,1,2014-09-18,Low,Male
adult,2014-03-05,African-American,1,2014-03-27,High,Male
adult,2013-04-29,African-American,1,2013-10-03,Low,Male
senior,2013-12-23,Caucasian,1,2014-01-22,Low,Male
adult,2013-11-08,African-American,1,2014-04-03,High,Male
adult,2013-03-05,African-American,1,2013-06-27,High,Male
senior,2014-07-02,Caucasian,1,2014-07-16,Low,Male
young,2013-02-02,African-American,1,2013-07-07,High,Male
senior,2014-04-09,African-American,1,2014-10-01,Medium,Female
adult,2013-04-14,Caucasian,1,2013-04-29,Medium,Male
adult,2014-08-03,African-American,1,2015-01-07,High,Male
adult,2013-05-26,African-American,1,2015-07-08,Low,Male
adult,2013-11-07,African-American,1,2014-02-06,Medium,Female
young,2013-04-13,Hispanic,1,2015-01-31,Low,Male
adult,2013-10-13,Caucasian,1,2014-11-05,Low,Male
adult,2013-12-29,African-American,1,2015-01-09,Low,Male
adult,2014-02-19,African-American,1,2015-05-07,Low,Male
young,2013-03-12,Hispanic,1,2013-08-30,High,Male
adult,2012-12-13,African-American,1,2016-02-26,Low,Male
adult,2014-03-18,African-American,1,2015-02-07,High,Male
adult,2014-10-15,Caucasian,1,2014-10-26,Low,Male
young,2013-03-01,African-American,1,2014-01-22,High,Male
senior,2014-11-08,Hispanic,1,2015-03-24,High,Male
young,2013-02-22,Caucasian,1,2013-03-01,Low,Male
young,2014-10-28,African-American,1,2014-11-11,Medium,Female
young,2013-04-11,African-American,1,2014-10-10,Low,Male
young,2014-12-11,Hispanic,1,2015-12-07,High,Male
adult,2013-07-23,Caucasian,1,2014-07-22,Low,Male
young,2013-12-15,Caucasian,1,2014-02-18,High,Male
adult,2014-03-15,African-American,1,2014-04-15,High,Male
adult,2014-11-21,African-American,1,2016-01-26,Low,Female
adult,2014-02-06,Caucasian,1,2014-07-17,High,Male
adult,2013-03-19,African-American,1,2013-08-04,Medium,Male
young,2014-11-11,Other,1,2014-11-21,Low,Male
adult,2013-09-08,African-American,1,2014-11-13,Low,Male
young,2013-08-20,African-American,1,2014-06-05,Low,Male
young,2013-01-14,African-American,1,2013-11-25,Medium,Male
young,2013-03-14,African-American,1,2014-10-15,High,Male
adult,2013-11-21,Caucasian,1,2016-01-19,High,Male
adult,2013-05-11,African-American,1,2014-04-24,Low,Male
adult,2014-02-04,African-American,1,2014-07-14,High,Male
adult,2014-07-31,African-American,1,2015-01-23,High,Male
adult,2013-10-16,African-American,1,2014-02-26,High,Male
adult,2014-05-12,African-American,1,2015-04-22,Medium,Male
senior,2013-08-15,African-American,1,2014-08-21,Medium,Female
young,2013-02-15,Hispanic,1,2014-10-18,Medium,Male
adult,2014-06-14,African-American,1,2014-11-08,Low,Male
adult,2013-09-30,Caucasian,1,2013-12-10,Medium,Male
adult,2013-03-23,African-American,1,2013-04-22,High,Male
adult,2014-02-12,African-American,1,2015-11-21,Low,Male
young,2013-10-06,African-American,1,2014-11-18,Medium,Male
adult,2013-04-11,Caucasian,1,2016-02-03,Low,Male
young,2014-09-11,African-American,1,2015-02-05,Low,Male
adult,2013-01-11,African-American,1,2014-01-22,High,Male
adult,2013-06-29,African-American,1,2013-09-12,Low,Male
young,2013-08-26,Caucasian,1,2013-11-12,Medium,Male
young,2014-06-22,Caucasian,1,2014-06-25,Low,Male
adult,2013-08-11,African-American,1,2013-12-17,Low,Male
senior,2014-05-01,Caucasian,1,2014-12-19,Low,Male
young,2013-01-11,Other,1,2014-07-10,Low,Female
senior,2013-07-31,African-American,1,2013-11-10,Medium,Male
adult,2013-04-15,African-American,1,2015-07-10,Medium,Male
senior,2013-01-03,African-American,1,2015-09-07,High,Male
senior,2013-11-13,African-American,1,2014-05-28,Low,Male
senior,2013-01-30,African-American,1,2015-11-17,High,Male
adult,2013-04-06,African-American,1,2013-09-20,High,Male
adult,2013-01-17,Caucasian,1,2014-11-06,Low,Male
young,2014-06-22,African-American,1,2016-02-15,Medium,Male
senior,2013-12-10,Caucasian,1,2015-03-29,Low,Male
senior,2014-02-11,Caucasian,1,2015-04-05,Low,Male
adult,2014-11-05,African-American,1,2015-01-28,High,Female
adult,2013-04-30,African-American,1,2013-09-12,High,Male
senior,2013-01-05,African-American,1,2014-04-18,Low,Male
adult,2014-10-04,African-American,1,2015-01-03,High,Male
adult,2014-05-22,Caucasian,1,2014-06-11,High,Male
adult,2013-03-10,Other,1,2015-08-05,Medium,Male
adult,2014-04-30,Caucasian,1,2016-01-06,Low,Male
adult,2013-01-27,Caucasian,1,2014-08-31,Low,Male
adult,2014-07-13,African-American,1,2014-12-06,Medium,Male
adult,2013-02-16,African-American,1,2016-03-26,Medium,Male
adult,2013-10-14,African-American,1,2014-05-20,High,Male
adult,2014-02-17,African-American,1,2016-03-01,Low,Male
adult,2013-01-13,Hispanic,1,2014-05-30,High,Male
adult,2014-09-05,African-American,1,2014-10-17,Medium,Male
adult,2013-03-12,African-American,1,2013-06-27,High,Male
senior,2013-08-17,African-American,1,2015-11-08,Low,Male
young,2014-06-13,Caucasian,1,2015-06-29,Low,Male
adult,2013-05-21,African-American,1,2016-01-02,High,Male
adult,2014-12-22,Hispanic,1,2015-11-13,Low,Male
adult,2014-01-22,Asian,1,2014-11-01,High,Male
young,2013-01-17,African-American,1,2013-04-05,High,Male
young,2014-11-02,African-American,1,2015-06-04,Medium,Male
adult,2013-04-27,African-American,1,2015-06-10,Low,Male
young,2013-10-26,Hispanic,1,2013-11-11,Low,Male
senior,2013-05-18,Caucasian,1,2015-06-11,Low,Male
adult,2013-02-25,African-American,1,2015-09-18,Medium,Male
adult,2014-01-09,Hispanic,1,2015-08-31,Medium,Male
young,2014-01-30,African-American,1,2014-08-31,Low,Male
adult,2013-08-13,African-American,1,2014-11-01,Medium,Male
adult,2013-03-20,Caucasian,1,2014-04-24,High,Male
senior,2014-05-14,African-American,1,2015-04-08,Medium,Male
adult,2014-12-13,African-American,1,2015-11-03,Medium,Male
adult,2014-08-02,Hispanic,1,2015-11-27,Low,Male
adult,2014-08-30,Other,1,2015-01-20,Low,Male
young,2013-04-05,African-American,1,2013-04-12,Medium,Male
adult,2014-04-10,Caucasian,1,2014-08-31,Medium,Male
adult,2013-10-12,Caucasian,1,2015-04-17,Medium,Male
young,2014-11-10,Caucasian,1,2014-11-11,Low,Male
adult,2014-05-15,African-American,1,2014-08-09,High,Female
young,2014-02-21,Other,1,2014-05-29,Medium,Male
senior,2014-03-19,Caucasian,1,2014-10-29,Low,Male
adult,2012-10-02,African-American,1,2014-02-26,Low,Male
young,2014-11-07,Caucasian,1,2014-11-15,High,Male
young,2013-01-31,Caucasian,1,2013-08-11,Medium,Male
adult,2014-02-14,African-American,1,2014-10-28,Low,Male
adult,2013-01-21,African-American,1,2013-03-29,Low,Male
young,2013-04-25,African-American,1,2015-09-24,Medium,Male
adult,2014-11-21,African-American,1,2015-04-29,Medium,Male
adult,2014-09-30,Hispanic,1,2015-06-02,Low,Female
senior,2014-11-20,Caucasian,1,2015-12-30,High,Male
adult,2014-02-21,African-American,1,2014-07-17,High,Male
senior,2014-03-13,Caucasian,1,2015-12-31,Low,Male
senior,2013-09-05,African-American,1,2015-11-19,Low,Male
senior,2013-10-15,Native American,1,2015-12-18,High,Female
senior,2013-03-19,African-American,1,2013-06-29,Medium,Male
adult,2013-10-04,African-American,1,2014-11-25,Medium,Female
adult,2013-03-22,Caucasian,1,2014-12-19,Medium,Male
adult,2013-08-09,African-American,1,2013-11-22,High,Male
young,2014-11-14,African-American,1,2015-05-29,High,Male
adult,2014-04-21,African-American,1,2015-12-06,High,Male
adult,2013-11-08,African-American,1,2013-12-12,Medium,Female
adult,2013-04-19,Caucasian,1,2013-09-15,Low,Male
adult,2013-08-23,Caucasian,1,2013-10-24,High,Male
senior,2013-04-06,African-American,1,2014-03-20,Medium,Male
adult,2014-06-19,Other,1,2015-05-14,Low,Male
young,2013-06-06,African-American,1,2014-11-19,High,Male
adult,2013-01-17,African-American,1,2013-04-04,Low,Male
young,2013-12-09,Other,1,2014-06-17,Medium,Female
senior,2013-06-16,Caucasian,1,2013-12-09,Medium,Male
senior,2012-09-23,Caucasian,1,2016-02-26,Low,Female
adult,2014-05-24,Caucasian,1,2016-01-04,Medium,Male
adult,2013-08-06,Caucasian,1,2013-08-26,High,Female
young,2014-06-19,African-American,1,2015-01-19,Low,Male
adult,2013-11-05,African-American,1,2014-04-07,High,Male
young,2012-11-05,African-American,1,2013-04-14,Medium,Female
adult,2013-10-02,Caucasian,1,2013-11-07,Low,Male
adult,2013-01-11,African-American,1,2014-11-27,High,Male
adult,2013-02-24,Hispanic,1,2014-03-03,Low,Female
adult,2014-11-04,African-American,1,2014-11-27,High,Male
adult,2014-06-14,African-American,1,2016-03-20,Low,Male
adult,2013-04-01,African-American,1,2014-01-18,Medium,Male
adult,2014-05-31,African-American,1,2015-01-01,Low,Female
adult,2013-07-10,Caucasian,1,2014-06-23,Low,Male
adult,2013-05-25,African-American,1,2014-08-11,Low,Male
adult,2013-09-06,African-American,1,2015-03-10,Low,Male
adult,2014-11-22,African-American,1,2015-01-14,High,Male
senior,2013-09-03,African-American,1,2013-10-09,Medium,Male
adult,2014-02-09,Hispanic,1,2014-05-12,Low,Male
adult,2014-07-04,Hispanic,1,2015-04-22,Low,Female
senior,2013-08-21,Hispanic,1,2014-05-20,Medium,Male
adult,2014-06-04,African-American,1,2014-12-22,Low,Male
senior,2014-07-08,African-American,1,2016-03-09,Medium,Male
adult,2013-10-29,Caucasian,1,2014-02-17,Medium,Male
senior,2013-06-01,African-American,1,2013-06-04,Low,Male
adult,2013-03-24,African-American,1,2013-04-26,High,Female
young,2014-10-21,Caucasian,1,2014-11-01,High,Male
adult,2014-10-04,Other,1,2015-02-23,Low,Male
young,2013-04-18,African-American,1,2013-08-29,High,Male
senior,2013-11-10,African-American,1,2014-01-01,Low,Male
adult,2013-02-06,African-American,1,2014-01-14,Low,Male
young,2014-01-09,Caucasian,1,2014-03-16,High,Male
young,2014-11-01,Caucasian,1,2015-11-11,Low,Female
adult,2014-04-21,Caucasian,1,2014-07-10,Low,Male
adult,2013-04-11,African-American,1,2014-04-12,Medium,Male
adult,2013-10-29,African-American,1,2013-12-03,Low,Male
adult,2013-10-15,Caucasian,1,2014-02-07,Medium,Male
young,2013-01-29,Hispanic,1,2015-02-18,High,Male
young,2013-01-18,African-American,1,2013-05-24,Medium,Male
adult,2013-04-20,Caucasian,1,2013-10-05,Medium,Male
young,2012-03-26,African-American,1,2013-12-21,High,Male
senior,2013-09-20,Caucasian,1,2014-06-13,Medium,Male
adult,2013-07-02,African-American,1,2015-03-14,High,Male
adult,2013-11-22,Caucasian,1,2015-11-04,Low,Male
adult,2012-03-03,African-American,1,2014-06-21,Medium,Male
adult,2013-12-07,African-American,1,2014-04-29,Medium,Female
adult,2012-06-14,African-American,1,2014-07-15,High,Male
senior,2013-08-12,African-American,1,2014-01-03,Low,Male
adult,2013-02-07,African-American,1,2013-05-10,Low,Male
young,2013-01-01,African-American,1,2015-01-19,High,Male
young,2013-09-13,African-American,1,2014-03-26,Medium,Male
adult,2014-02-01,Caucasian,1,2015-06-24,Low,Male
young,2013-04-12,Caucasian,1,2013-04-18,Medium,Male
adult,2010-09-21,African-American,1,2015-06-14,High,Male
adult,2013-02-21,Caucasian,1,2013-07-19,Low,Male
adult,2014-06-24,African-American,1,2015-03-29,Low,Female
senior,2013-10-28,African-American,1,2014-07-24,Medium,Male
adult,2013-09-25,African-American,1,2015-08-31,Low,Male
adult,2013-04-21,African-American,1,2013-11-06,Low,Male
adult,2013-01-07,African-American,1,2014-03-04,High,Female
young,2014-11-13,African-American,1,2014-12-29,High,Male
adult,2013-08-26,Hispanic,1,2015-07-13,Low,Male
adult,2014-09-13,Caucasian,1,2015-03-19,High,Male
adult,2014-03-02,Other,1,2015-10-25,Low,Male
senior,2013-01-19,Hispanic,1,2014-03-01,Low,Male
adult,2013-03-22,Caucasian,1,2013-11-07,High,Male
young,2013-10-05,Caucasian,1,2016-02-23,Low,Male
adult,2014-08-11,Caucasian,1,2015-09-13,Low,Female
young,2014-01-13,African-American,1,2014-09-18,Low,Male
adult,2013-04-07,African-American,1,2014-04-26,Medium,Male
young,2014-08-28,African-American,1,2014-12-24,Medium,Male
senior,2013-12-22,African-American,1,2014-02-10,Medium,Male
adult,2013-02-21,African-American,1,2013-06-17,Medium,Male
adult,2014-11-27,Caucasian,1,2015-11-20,Low,Male
adult,2013-04-12,Caucasian,1,2014-04-21,High,Male
young,2013-05-01,African-American,1,2013-12-26,Low,Male
adult,2013-05-06,Hispanic,1,2014-01-06,Low,Male
adult,2014-07-06,Hispanic,1,2014-09-03,Low,Female
senior,2014-03-15,Caucasian,1,2014-07-12,Low,Male
senior,2014-03-31,African-American,1,2014-05-10,Low,Male
young,2013-12-22,Caucasian,1,2015-06-20,Medium,Male
adult,2013-03-11,African-American,1,2013-08-05,Medium,Female
adult,2013-05-18,African-American,1,2013-10-25,High,Male
adult,2013-01-03,African-American,1,2014-04-24,Medium,Male
senior,2011-03-15,Caucasian,1,2014-12-22,Low,Male
senior,2014-09-19,African-American,1,2015-10-30,Medium,Male
adult,2014-06-14,Caucasian,1,2014-07-22,High,Male
adult,2013-01-16,African-American,1,2015-04-06,High,Male
young,2013-03-20,African-American,1,2014-05-03,Medium,Male
young,2014-10-06,African-American,1,2015-02-02,Medium,Male
young,2013-02-19,African-American,1,2013-05-02,Medium,Male
adult,2014-02-06,African-American,1,2014-07-30,Low,Male
young,2014-02-11,African-American,1,2014-05-14,Medium,Male
adult,2014-12-02,Caucasian,1,2015-01-20,Medium,Male
adult,2014-05-10,African-American,1,2015-03-19,High,Male
adult,2014-01-09,African-American,1,2014-03-14,Low,Male
adult,2013-01-30,African-American,1,2015-05-26,Medium,Male
adult,2014-01-24,Caucasian,1,2015-03-31,Medium,Female
adult,2013-09-12,African-American,1,2014-05-19,Medium,Male
senior,2013-12-05,Caucasian,1,2015-06-25,Low,Female
adult,2013-12-17,African-American,1,2014-01-03,Medium,Male
senior,2014-07-01,African-American,1,2014-11-18,Low,Male
young,2014-10-07,Other,1,2015-04-21,High,Male
adult,2013-02-19,African-American,1,2014-05-29,Low,Male
young,2013-01-30,African-American,1,2015-04-15,High,Male
young,2014-01-01,African-American,1,2014-02-27,Low,Male
senior,2013-02-08,Caucasian,1,2014-01-04,High,Male
adult,2013-04-13,Caucasian,1,2014-08-21,Low,Male
adult,2013-02-05,African-American,1,2014-12-12,Medium,Male
senior,2013-03-23,Caucasian,1,2014-01-20,High,Male
young,2014-01-10,African-American,1,2015-01-26,Medium,Male
young,2013-12-21,African-American,1,2014-02-18,High,Male
young,2014-05-16,Hispanic,1,2014-05-24,Low,Male
adult,2013-10-29,African-American,1,2015-03-13,High,Male
adult,2013-11-16,Caucasian,1,2015-01-05,Medium,Male
adult,2013-03-13,African-American,1,2014-09-22,High,Male
adult,2013-05-12,African-American,1,2015-01-21,High,Male
young,2014-02-10,African-American,1,2014-06-01,Medium,Male
adult,2014-08-22,Caucasian,1,2014-12-01,Low,Male
adult,2014-03-07,African-American,1,2014-09-15,Medium,Male
adult,2014-07-14,African-American,1,2016-02-11,High,Male
adult,2013-07-31,Caucasian,1,2014-10-31,High,Male
young,2014-02-26,Caucasian,1,2015-12-06,Low,Male
adult,2014-03-12,Caucasian,1,2015-05-28,Medium,Male
young,2014-02-15,Caucasian,1,2014-05-09,Medium,Male
