age_cat,dates_diff_in_days,ethnicity,score_text,sex
senior,40,African-American,Low,Male
young,545,Caucasian,Medium,Male
adult,147,African-American,Medium,Female
adult,160,African-American,High,Male
adult,476,African-American,Medium,Male
senior,1378,Caucasian,Low,Male
senior,406,African-American,Medium,Male
adult,38,Caucasian,High,Male
adult,810,African-American,High,Male
young,409,African-American,Medium,Male
young,119,African-American,Medium,Male
young,72,African-American,Medium,Male
adult,174,African-American,Low,Male
young,92,African-American,Medium,Male
adult,49,Caucasian,Medium,Male
adult,313,African-American,High,Male
adult,64,African-American,Low,Male
adult,846,African-American,Medium,Male
adult,431,Caucasian,Medium,Female
adult,249,African-American,Medium,Male
senior,567,Caucasian,Low,Female
adult,17,African-American,Medium,Male
senior,140,African-American,Low,Male
young,196,Other,High,Male
adult,464,African-American,Low,Male
young,805,African-American,High,Male
young,57,African-American,Low,Male
senior,330,Caucasian,High,Male
adult,495,Caucasian,Low,Male
adult,675,African-American,Medium,Male
senior,303,Caucasian,High,Male
young,381,African-American,Medium,Male
young,59,African-American,High,Male
young,8,Hispanic,Low,Male
adult,500,African-American,High,Male
adult,415,Caucasian,Medium,Male
adult,558,African-American,High,Male
adult,619,African-American,High,Male
young,111,African-American,Medium,Male
adult,101,Caucasian,Low,Male
adult,192,African-American,Medium,Male
adult,577,African-American,High,Male
adult,457,Caucasian,High,Male
young,648,Caucasian,Low,Male
adult,442,Caucasian,Medium,Male
young,83,Caucasian,Medium,Male
adult,468,Caucasian,Low,Male
adult,2,African-American,High,Male
young,1137,Caucasian,Low,Male
adult,891,African-American,Medium,Male
adult,123,Caucasian,Low,Male
senior,477,African-American,Medium,Male
adult,979,African-American,Medium,Male
adult,280,African-American,Medium,Male
senior,339,African-American,Low,Male
adult,395,Caucasian,Low,Male
adult,30,Caucasian,Medium,Female
adult,143,Caucasian,Low,Male
young,341,Other,High,Male
adult,449,African-American,Medium,Male
senior,678,African-American,High,Male
senior,433,African-American,Low,Male
senior,104,Hispanic,Low,Female
young,9,African-American,Medium,Male
adult,166,African-American,High,Male
young,679,African-American,Low,Male
adult,227,African-American,Medium,Female
adult,15,Other,Low,Male
adult,336,African-American,High,Male
senior,18,African-American,Medium,Male
adult,259,African-American,Medium,Male
senior,299,Caucasian,Low,Female
senior,452,Caucasian,Low,Male
young,245,African-American,High,Female
young,510,Hispanic,Medium,Male
adult,289,Caucasian,Low,Male
adult,316,African-American,High,Male
adult,116,Caucasian,High,Male
adult,334,African-American,Medium,Male
young,1014,African-American,Low,Male
adult,90,African-American,Low,Male
senior,206,Asian,Medium,Male
adult,882,African-American,Medium,Female
young,302,African-American,Low,Male
young,468,African-American,Low,Male
adult,9,African-American,High,Female
senior,918,African-American,Medium,Male
adult,387,African-American,High,Male
adult,551,African-American,Low,Male
adult,308,Hispanic,Low,Male
adult,97,African-American,Low,Male
adult,70,Caucasian,High,Male
senior,41,African-American,High,Male
senior,466,Caucasian,Low,Female
senior,8,African-American,Medium,Male
adult,183,African-American,Medium,Male
adult,82,African-American,Medium,Male
adult,587,Hispanic,Medium,Male
adult,318,Caucasian,Medium,Male
adult,231,African-American,Low,Female
senior,181,Hispanic,Low,Male
adult,11,Hispanic,Medium,Male
young,80,African-American,Low,Male
senior,78,African-American,Low,Male
adult,335,African-American,High,Male
adult,21,African-American,Medium,Male
young,306,African-American,High,Male
adult,231,Caucasian,High,Male
adult,724,Other,Low,Male
adult,242,Hispanic,Low,Male
young,315,Caucasian,High,Male
senior,49,Caucasian,Medium,Male
senior,208,Caucasian,Low,Female
young,129,Caucasian,Medium,Male
adult,715,African-American,Medium,Male
adult,771,African-American,Low,Male
adult,762,Caucasian,Low,Male
adult,92,Caucasian,Low,Male
adult,140,Caucasian,Low,Male
young,569,Caucasian,Low,Male
senior,108,Hispanic,Low,Male
young,390,Caucasian,Medium,Male
adult,155,African-American,High,Male
adult,420,African-American,Low,Male
young,123,Caucasian,High,Male
adult,289,African-American,High,Male
senior,89,African-American,Low,Male
adult,107,Caucasian,High,Male
adult,599,African-American,High,Male
senior,21,Caucasian,Medium,Male
adult,369,African-American,Low,Male
young,327,African-American,High,Female
young,141,African-American,Low,Male
senior,40,African-American,Medium,Male
adult,58,African-American,Low,Male
young,70,Caucasian,High,Male
adult,573,African-American,High,Male
young,549,African-American,Medium,Male
young,217,African-American,High,Male
young,9,African-American,Low,Male
adult,80,Caucasian,Low,Male
adult,203,Caucasian,Medium,Female
senior,662,African-American,Low,Male
adult,879,Caucasian,Low,Female
adult,922,Caucasian,Low,Male
adult,40,Caucasian,High,Male
adult,75,Other,Low,Female
young,446,African-American,Low,Male
adult,24,Hispanic,High,Female
adult,336,African-American,High,Male
adult,263,Caucasian,High,Male
young,255,Other,Medium,Male
adult,7,Caucasian,Low,Female
adult,385,African-American,High,Male
adult,399,African-American,Medium,Male
adult,124,African-American,High,Male
adult,361,African-American,Medium,Female
adult,165,African-American,Medium,Male
adult,140,Caucasian,Low,Female
adult,389,African-American,High,Male
adult,69,Caucasian,Medium,Male
young,99,Other,Medium,Male
adult,455,African-American,High,Female
adult,389,African-American,High,Male
adult,123,Caucasian,Low,Male
adult,190,Hispanic,Low,Male
young,91,Caucasian,High,Male
adult,215,African-American,Medium,Male
senior,302,African-American,High,Male
adult,10,African-American,Low,Male
adult,760,African-American,Medium,Male
young,281,Hispanic,Low,Male
adult,124,Caucasian,Low,Male
adult,410,Hispanic,High,Male
adult,151,African-American,High,Male
adult,363,African-American,Medium,Male
adult,37,African-American,Low,Male
senior,51,Other,Low,Male
adult,30,African-American,High,Male
adult,176,African-American,High,Male
young,17,African-American,Low,Male
young,975,African-American,Medium,Female
senior,524,Other,Low,Male
young,358,Other,High,Male
young,283,Caucasian,High,Male
young,850,African-American,High,Male
young,96,Caucasian,Medium,Male
adult,490,African-American,High,Male
adult,242,African-American,Medium,Male
senior,548,African-American,Low,Male
senior,5958,African-American,High,Male
young,261,African-American,High,Male
adult,112,African-American,Medium,Male
senior,178,African-American,High,Male
senior,396,Caucasian,Medium,Male
adult,47,Hispanic,High,Male
adult,440,African-American,Low,Male
adult,113,Other,Medium,Male
young,416,African-American,High,Male
young,139,African-American,Medium,Male
adult,62,Caucasian,Low,Male
adult,417,African-American,Medium,Male
adult,421,Other,Low,Male
adult,192,African-American,Medium,Female
young,102,Hispanic,Low,Male
young,60,African-American,Medium,Male
adult,740,Caucasian,Medium,Male
senior,86,African-American,Medium,Male
young,11,African-American,High,Male
adult,140,African-American,Low,Male
adult,729,African-American,High,Male
young,524,African-American,Low,Male
senior,644,Caucasian,Low,Male
adult,37,African-American,Low,Male
young,324,African-American,High,Male
adult,392,African-American,High,Female
senior,474,Caucasian,Low,Male
senior,472,African-American,Low,Male
young,778,Caucasian,Low,Female
senior,446,African-American,Low,Female
adult,268,Hispanic,Low,Male
senior,87,Caucasian,Low,Male
adult,400,Caucasian,Medium,Male
young,74,African-American,High,Male
adult,1547,African-American,Low,Male
young,4,African-American,Low,Male
adult,289,African-American,High,Male
adult,754,African-American,High,Male
adult,435,Hispanic,Low,Male
adult,220,African-American,Low,Male
adult,801,African-American,Medium,Female
adult,151,African-American,Low,Male
senior,491,African-American,High,Male
adult,570,Caucasian,High,Male
adult,70,African-American,Medium,Male
young,6,African-American,Low,Male
young,70,Hispanic,Medium,Male
adult,116,African-American,Low,Male
adult,120,Caucasian,Medium,Male
young,325,African-American,High,Female
adult,46,African-American,Low,Male
adult,937,African-American,Medium,Female
young,663,African-American,Medium,Male
senior,820,Caucasian,Low,Male
young,339,African-American,High,Male
young,662,Other,Low,Male
senior,354,Caucasian,Low,Male
young,248,African-American,Low,Male
adult,160,African-American,Medium,Female
adult,708,Hispanic,Medium,Male
adult,289,African-American,Medium,Male
adult,531,African-American,Low,Male
adult,195,African-American,High,Male
adult,979,Hispanic,Low,Male
adult,145,African-American,Medium,Female
senior,1789,Other,Low,Male
young,178,Caucasian,Low,Male
senior,339,African-American,Low,Male
adult,556,African-American,High,Male
senior,246,Other,Low,Male
adult,7,Caucasian,Medium,Male
young,161,African-American,Low,Male
adult,395,Hispanic,Low,Male
young,60,African-American,High,Male
adult,21,African-American,Medium,Male
senior,97,African-American,Low,Male
adult,854,African-American,High,Male
senior,311,African-American,Low,Male
adult,927,African-American,Low,Male
adult,231,Other,Low,Male
young,136,African-American,High,Male
adult,212,African-American,High,Male
adult,8,Caucasian,Medium,Male
young,197,African-American,High,Male
adult,325,Caucasian,Low,Male
adult,89,African-American,High,Male
senior,90,Caucasian,Low,Male
senior,679,Caucasian,Low,Male
adult,139,African-American,High,Male
adult,358,Caucasian,Low,Male
young,233,African-American,Medium,Female
adult,290,African-American,Low,Male
adult,219,Hispanic,Low,Female
adult,140,African-American,High,Male
adult,44,African-American,High,Male
young,421,African-American,High,Male
adult,78,Caucasian,Low,Male
senior,179,Caucasian,Medium,Male
adult,485,African-American,Medium,Male
adult,227,Other,Low,Male
senior,72,Caucasian,High,Male
adult,1087,African-American,High,Male
young,545,African-American,Low,Male
senior,382,Other,Medium,Male
young,136,African-American,High,Male
adult,360,Caucasian,High,Male
adult,350,Hispanic,Low,Male
adult,269,Hispanic,Low,Male
adult,267,Caucasian,Low,Male
senior,92,African-American,Low,Male
senior,357,Caucasian,Low,Female
young,87,African-American,High,Male
adult,538,African-American,High,Male
young,294,African-American,Medium,Male
senior,43,African-American,Low,Female
young,258,Caucasian,Low,Male
young,77,African-American,Medium,Male
young,992,African-American,Medium,Male
adult,254,African-American,High,Male
adult,759,Hispanic,Medium,Male
adult,875,African-American,Medium,Male
adult,527,African-American,Low,Male
adult,283,Hispanic,Low,Male
adult,83,Caucasian,High,Male
adult,220,Caucasian,Medium,Male
adult,99,African-American,Low,Male
senior,34,Caucasian,Low,Male
adult,118,Caucasian,Low,Male
adult,126,African-American,Medium,Male
adult,202,Caucasian,Low,Male
adult,73,African-American,Medium,Male
adult,2,African-American,High,Female
adult,4,African-American,Medium,Male
adult,80,Caucasian,Medium,Female
adult,151,African-American,Low,Male
adult,545,Caucasian,Low,Male
senior,22,African-American,High,Male
young,165,African-American,Low,Male
adult,65,Hispanic,Low,Male
adult,274,Hispanic,Medium,Male
adult,556,African-American,Low,Male
senior,690,Caucasian,Low,Male
adult,264,African-American,Medium,Male
senior,170,Caucasian,Low,Female
adult,445,African-American,Medium,Female
young,55,Other,High,Male
senior,381,Caucasian,Low,Male
adult,195,African-American,Medium,Female
young,467,Caucasian,Low,Male
adult,369,African-American,Low,Male
adult,333,African-American,Low,Male
adult,449,Caucasian,Medium,Male
young,270,African-American,Low,Male
adult,793,African-American,High,Male
young,225,African-American,High,Male
senior,1109,African-American,Medium,Male
senior,58,Caucasian,Low,Male
senior,232,African-American,High,Male
adult,773,African-American,High,Male
adult,197,African-American,Low,Female
young,5,African-American,High,Male
adult,103,African-American,High,Male
senior,155,African-American,High,Male
young,305,African-American,High,Male
young,274,African-American,High,Male
young,810,African-American,Low,Male
senior,266,African-American,Low,Male
adult,690,African-American,Low,Male
young,263,African-American,High,Male
young,46,Caucasian,Low,Male
senior,388,Hispanic,Low,Male
adult,91,Caucasian,Medium,Female
adult,528,Other,Low,Male
adult,10,African-American,High,Male
adult,450,African-American,Medium,Male
young,455,African-American,Medium,Male
young,124,African-American,High,Male
adult,428,Caucasian,Medium,Male
adult,351,African-American,High,Male
adult,60,Caucasian,Medium,Male
young,185,Caucasian,Medium,Male
senior,23,African-American,Low,Male
adult,157,African-American,Medium,Male
adult,15,Caucasian,Low,Male
adult,290,African-American,High,Male
young,91,African-American,Low,Male
adult,267,African-American,Low,Male
adult,245,Hispanic,High,Male
adult,664,African-American,High,Male
adult,231,Caucasian,Low,Male
senior,798,African-American,Low,Male
young,173,Caucasian,Low,Male
adult,128,African-American,Low,Male
senior,704,African-American,Medium,Male
young,509,Caucasian,High,Male
adult,163,African-American,Medium,Female
young,350,African-American,Medium,Male
young,751,African-American,Low,Male
young,236,African-American,High,Male
young,197,African-American,Medium,Male
adult,65,Caucasian,Medium,Female
young,311,African-American,Medium,Female
young,110,Other,Medium,Male
young,155,African-American,Medium,Female
young,393,African-American,High,Male
adult,148,African-American,Low,Male
adult,445,African-American,High,Male
senior,760,Caucasian,Low,Male
adult,459,Caucasian,Medium,Female
adult,52,African-American,High,Male
adult,513,Caucasian,Low,Female
adult,175,African-American,Medium,Male
adult,32,Caucasian,Medium,Male
young,113,African-American,Low,Male
senior,173,Caucasian,Medium,Male
young,31,African-American,High,Male
adult,178,Native American,Medium,Male
adult,225,African-American,Low,Male
young,616,African-American,Medium,Male
adult,93,Caucasian,High,Male
adult,75,African-American,Low,Female
young,356,Caucasian,Medium,Male
adult,115,African-American,Low,Male
senior,19,African-American,Medium,Male
adult,238,African-American,Low,Male
young,240,Other,Medium,Male
adult,652,Caucasian,Low,Male
adult,607,African-American,High,Male
adult,75,African-American,High,Male
adult,216,African-American,High,Male
adult,419,African-American,High,Male
adult,937,African-American,Medium,Male
adult,712,Hispanic,Medium,Male
young,562,African-American,High,Male
young,193,Other,Low,Male
adult,629,African-American,Low,Female
adult,541,Hispanic,Low,Male
adult,142,African-American,High,Male
adult,60,African-American,Medium,Male
adult,175,Other,Low,Male
young,24,Other,High,Male
senior,260,African-American,Low,Male
adult,74,African-American,Medium,Female
young,401,African-American,Low,Male
adult,84,Caucasian,High,Female
adult,242,African-American,Medium,Male
adult,471,African-American,Low,Male
adult,509,African-American,Low,Male
senior,75,Caucasian,Medium,Female
young,477,African-American,Low,Male
young,115,African-American,Medium,Female
adult,145,African-American,High,Male
young,197,African-American,Medium,Male
adult,469,Hispanic,Low,Male
young,204,Caucasian,Medium,Male
young,29,African-American,High,Male
young,347,African-American,Medium,Male
adult,87,Caucasian,Medium,Male
senior,430,Hispanic,Medium,Male
adult,707,Caucasian,Low,Male
young,204,African-American,High,Male
young,294,African-American,High,Male
adult,436,Caucasian,Low,Female
young,286,African-American,High,Male
young,65,Caucasian,High,Male
young,202,Other,Low,Male
adult,136,Caucasian,Medium,Male
adult,218,Caucasian,High,Male
senior,689,Caucasian,Low,Male
adult,452,African-American,High,Female
adult,77,Caucasian,Medium,Male
adult,24,Caucasian,Low,Male
adult,379,African-American,Low,Male
senior,439,Hispanic,Low,Male
young,230,Caucasian,Medium,Female
senior,640,Caucasian,Low,Male
adult,92,Caucasian,Low,Male
adult,123,Caucasian,Low,Male
adult,447,African-American,Low,Male
senior,297,African-American,Low,Male
senior,341,Caucasian,Medium,Male
adult,57,Caucasian,Low,Male
adult,553,African-American,Low,Female
young,314,Caucasian,High,Male
adult,390,Caucasian,High,Female
young,494,African-American,Low,Male
young,8,African-American,High,Male
adult,399,African-American,Low,Male
senior,19,Caucasian,High,Male
adult,368,African-American,Low,Male
young,69,Other,Low,Male
adult,448,African-American,High,Male
adult,740,African-American,Low,Male
young,16,African-American,High,Female
adult,68,African-American,Low,Male
adult,113,Caucasian,High,Male
young,247,African-American,High,Male
adult,650,African-American,Medium,Male
young,163,African-American,High,Female
adult,470,Caucasian,Low,Male
young,573,African-American,Low,Male
adult,283,African-American,High,Female
adult,261,Caucasian,Low,Male
young,137,African-American,Medium,Male
adult,19,Caucasian,Low,Female
senior,127,Caucasian,Low,Male
young,304,African-American,High,Female
senior,660,African-American,Medium,Male
young,151,African-American,High,Male
adult,216,Other,Low,Male
adult,12,African-American,Medium,Female
adult,58,African-American,High,Male
adult,1010,African-American,High,Male
adult,151,Caucasian,Low,Female
adult,113,African-American,High,Male
adult,105,African-American,High,Male
young,25,African-American,High,Female
adult,239,Caucasian,Low,Female
adult,165,African-American,High,Male
young,3,African-American,Low,Male
young,54,African-American,Low,Male
young,192,African-American,High,Female
adult,120,Caucasian,Low,Female
young,22,Other,Low,Male
adult,178,Other,Medium,Male
young,51,African-American,High,Male
young,347,African-American,High,Male
senior,232,Hispanic,Low,Male
adult,18,African-American,Medium,Male
young,284,African-American,Low,Male
young,418,Caucasian,Medium,Male
adult,923,Caucasian,Low,Male
adult,37,Caucasian,Medium,Male
young,292,Caucasian,High,Male
adult,294,Hispanic,Low,Female
young,377,Caucasian,Medium,Male
young,49,African-American,High,Female
adult,40,African-American,High,Male
senior,187,Caucasian,Low,Male
adult,426,Caucasian,High,Male
adult,121,Hispanic,Low,Female
young,409,African-American,High,Male
senior,504,African-American,High,Male
senior,74,African-American,Low,Male
adult,329,Caucasian,Medium,Male
adult,482,African-American,Low,Male
adult,466,African-American,Medium,Female
adult,568,Native American,High,Male
young,273,African-American,High,Male
adult,485,African-American,Medium,Male
adult,139,African-American,High,Male
adult,120,African-American,Medium,Male
adult,91,Caucasian,Medium,Male
adult,211,Caucasian,Low,Male
young,442,Caucasian,High,Male
adult,214,African-American,Medium,Male
adult,274,Caucasian,Medium,Female
senior,356,African-American,Medium,Male
adult,203,Other,Medium,Male
senior,265,Caucasian,Low,Male
adult,242,African-American,High,Male
adult,628,African-American,High,Male
adult,285,Caucasian,Medium,Male
adult,25,African-American,High,Male
adult,851,Hispanic,Low,Male
adult,232,Caucasian,Low,Male
young,62,African-American,Medium,Male
adult,181,African-American,Low,Female
adult,25,African-American,Low,Female
adult,154,African-American,High,Male
young,193,African-American,Medium,Male
adult,929,Caucasian,Low,Male
adult,307,Hispanic,Medium,Male
adult,402,African-American,High,Male
young,465,Caucasian,High,Male
adult,654,Caucasian,Medium,Male
adult,107,African-American,Medium,Male
senior,76,Caucasian,Low,Male
senior,359,Caucasian,Low,Male
adult,745,African-American,High,Male
adult,302,African-American,Medium,Male
adult,48,African-American,High,Male
young,954,Caucasian,Low,Male
adult,263,Caucasian,Low,Male
adult,212,African-American,Medium,Male
adult,404,Caucasian,Medium,Male
adult,79,Caucasian,Low,Female
young,40,Hispanic,Low,Male
senior,94,Caucasian,High,Male
adult,717,Other,Low,Male
adult,413,African-American,Low,Male
young,355,African-American,Medium,Male
young,82,African-American,Low,Male
senior,89,Caucasian,Low,Female
young,205,Caucasian,Medium,Male
adult,22,African-American,High,Female
adult,118,Caucasian,Medium,Female
adult,380,African-American,Low,Male
adult,222,African-American,Low,Female
adult,425,African-American,Medium,Male
young,7,African-American,Medium,Male
adult,867,Asian,Low,Male
senior,361,African-American,Medium,Male
adult,475,African-American,Low,Male
adult,127,Caucasian,Low,Female
adult,18,Caucasian,Medium,Male
young,429,Hispanic,High,Female
adult,314,African-American,Medium,Female
adult,292,Hispanic,Low,Female
adult,15,Caucasian,Medium,Male
adult,582,Caucasian,Low,Male
adult,437,African-American,Low,Female
young,541,Hispanic,Medium,Male
senior,6,Caucasian,Low,Male
young,280,African-American,High,Male
adult,215,Caucasian,Low,Male
adult,721,African-American,Medium,Male
adult,323,African-American,Medium,Male
young,305,African-American,Medium,Male
adult,43,African-American,Low,Male
adult,80,Caucasian,High,Male
adult,68,African-American,Medium,Male
adult,257,Caucasian,Medium,Male
young,316,Caucasian,Medium,Male
young,214,African-American,High,Male
young,354,African-American,Low,Male
adult,138,African-American,High,Male
senior,167,Caucasian,Low,Male
young,333,African-American,Low,Male
adult,410,Caucasian,Low,Male
adult,90,African-American,High,Male
adult,443,Caucasian,Low,Female
adult,629,Caucasian,Medium,Male
adult,21,African-American,Low,Male
adult,394,African-American,High,Male
adult,614,Caucasian,Medium,Female
senior,4,African-American,Low,Male
adult,40,Hispanic,Medium,Male
adult,959,Caucasian,Medium,Male
adult,87,African-American,High,Male
young,279,African-American,Low,Male
adult,1112,African-American,High,Male
adult,6,African-American,Low,Male
adult,89,Caucasian,Medium,Female
young,650,African-American,Medium,Male
senior,124,African-American,Low,Female
adult,132,African-American,Low,Male
young,704,African-American,Medium,Female
young,431,Hispanic,Medium,Male
young,362,African-American,High,Male
adult,3,African-American,High,Male
senior,80,Caucasian,Low,Male
adult,289,Caucasian,Low,Male
young,579,Caucasian,High,Male
adult,140,African-American,Low,Male
senior,103,Caucasian,Low,Male
adult,642,African-American,Low,Male
adult,146,Caucasian,Low,Male
adult,184,Caucasian,High,Female
adult,321,Caucasian,High,Male
senior,341,African-American,Low,Male
adult,150,African-American,Low,Male
young,251,African-American,Low,Male
adult,195,African-American,Low,Male
adult,290,African-American,Low,Male
adult,237,Caucasian,Medium,Male
adult,73,Other,High,Male
adult,164,African-American,High,Female
senior,175,Caucasian,Low,Male
adult,597,Caucasian,Low,Male
senior,137,Caucasian,Low,Male
adult,349,Caucasian,Low,Male
young,198,African-American,High,Male
adult,418,Caucasian,Low,Female
adult,459,African-American,Low,Male
adult,517,Caucasian,Medium,Male
young,399,African-American,High,Female
adult,5,African-American,High,Male
young,341,African-American,Medium,Female
adult,378,African-American,High,Male
adult,53,Caucasian,Low,Male
adult,96,Caucasian,Low,Male
senior,23,Caucasian,Low,Male
adult,760,African-American,High,Male
young,64,African-American,Low,Male
young,456,Caucasian,Medium,Male
adult,73,African-American,High,Male
adult,214,Caucasian,Low,Male
young,62,African-American,High,Male
young,197,African-American,Low,Female
adult,110,Caucasian,High,Male
adult,513,African-American,Medium,Male
adult,635,African-American,Low,Male
adult,173,African-American,High,Male
adult,297,African-American,Low,Male
senior,36,African-American,Medium,Male
adult,740,African-American,Low,Female
adult,125,Caucasian,High,Male
adult,17,African-American,High,Male
young,5,African-American,High,Male
adult,96,Caucasian,High,Male
adult,295,African-American,Medium,Male
adult,648,Caucasian,Low,Male
young,747,African-American,Medium,Male
adult,836,African-American,Low,Male
adult,307,African-American,Medium,Male
adult,695,African-American,Low,Male
senior,473,African-American,Medium,Male
adult,36,African-American,Medium,Male
adult,304,African-American,High,Male
adult,54,African-American,Low,Male
senior,30,African-American,Low,Male
young,470,African-American,Medium,Male
young,175,African-American,Medium,Male
adult,98,African-American,High,Male
adult,70,Caucasian,Low,Male
young,577,Caucasian,Medium,Male
senior,605,African-American,Medium,Female
young,13,Caucasian,High,Male
adult,212,African-American,High,Male
adult,795,Caucasian,Medium,Male
senior,1108,Caucasian,Low,Female
young,556,Caucasian,Medium,Female
adult,9,Hispanic,Low,Male
adult,853,African-American,Low,Male
senior,154,African-American,Low,Male
adult,772,African-American,High,Male
young,82,African-American,High,Male
young,309,African-American,Low,Male
young,379,Other,Low,Male
adult,370,Caucasian,Low,Female
young,300,African-American,Medium,Female
adult,149,Caucasian,Medium,Male
adult,736,Hispanic,Medium,Male
adult,43,Caucasian,Low,Male
young,106,African-American,High,Male
adult,37,Caucasian,High,Male
senior,198,Caucasian,Low,Female
adult,120,Hispanic,High,Male
young,126,Hispanic,Medium,Male
adult,558,Caucasian,Low,Female
young,293,African-American,High,Male
adult,80,African-American,Medium,Male
adult,501,African-American,Low,Male
adult,515,African-American,High,Male
adult,36,African-American,Medium,Male
young,170,Caucasian,Medium,Male
adult,644,African-American,Low,Male
young,700,African-American,High,Male
adult,197,African-American,High,Male
adult,269,Caucasian,Medium,Male
senior,12,Caucasian,Low,Male
young,58,Caucasian,High,Male
senior,25,African-American,Low,Male
adult,775,African-American,High,Male
adult,23,African-American,Medium,Male
senior,521,African-American,Medium,Male
young,251,African-American,High,Male
senior,812,Caucasian,Low,Female
adult,521,Hispanic,Low,Male
adult,90,Hispanic,Low,Female
senior,11,African-American,High,Male
adult,336,African-American,Medium,Male
adult,35,African-American,High,Male
adult,832,African-American,High,Male
adult,220,African-American,Medium,Male
adult,449,African-American,High,Male
adult,146,African-American,Medium,Male
adult,62,Caucasian,Medium,Male
adult,350,African-American,Medium,Male
adult,640,African-American,Medium,Male
senior,205,Caucasian,Low,Male
young,714,African-American,High,Male
adult,447,Hispanic,Low,Male
adult,75,Caucasian,Medium,Female
young,159,African-American,High,Male
senior,305,African-American,Low,Male
young,432,African-American,Medium,Male
adult,304,African-American,Low,Male
adult,155,African-American,Low,Male
senior,862,African-American,Low,Male
young,322,African-American,High,Male
adult,29,Caucasian,High,Female
young,95,Other,Low,Female
adult,271,Caucasian,Medium,Female
young,410,African-American,Medium,Male
adult,327,Caucasian,Low,Male
adult,40,Caucasian,Medium,Male
senior,640,African-American,Medium,Male
adult,65,African-American,Low,Male
adult,361,African-American,High,Male
young,115,African-American,High,Male
young,156,Other,Low,Male
young,16,African-American,Medium,Female
senior,39,Caucasian,High,Male
adult,481,African-American,Medium,Male
senior,71,Caucasian,Medium,Male
adult,337,Hispanic,Low,Female
young,853,African-American,Low,Female
adult,697,African-American,Low,Male
adult,102,African-American,Low,Male
young,252,African-American,Medium,Male
adult,493,Caucasian,Low,Female
adult,186,African-American,High,Male
adult,566,Hispanic,Low,Male
adult,231,African-American,High,Male
adult,151,African-American,Low,Male
adult,530,African-American,Medium,Male
senior,757,African-American,Low,Male
adult,317,Caucasian,Medium,Female
young,9,African-American,Low,Male
senior,259,Caucasian,Low,Male
adult,681,African-American,Medium,Male
young,49,Other,Low,Male
adult,13,Caucasian,Low,Male
young,11,African-American,Medium,Male
senior,721,African-American,Low,Male
senior,5,African-American,Medium,Male
senior,125,Caucasian,Low,Female
adult,264,Caucasian,Medium,Male
adult,894,Caucasian,Low,Male
senior,641,African-American,High,Male
adult,109,Other,Low,Male
adult,8,African-American,Low,Female
adult,504,African-American,High,Male
senior,655,Caucasian,Medium,Female
young,375,African-American,High,Male
adult,352,African-American,Medium,Female
senior,126,African-American,Low,Male
adult,64,African-American,High,Male
adult,485,Hispanic,Low,Male
adult,295,Caucasian,Low,Male
adult,356,African-American,Low,Male
adult,363,Caucasian,High,Male
adult,814,African-American,Low,Male
adult,20,Caucasian,Low,Male
adult,397,Hispanic,Low,Male
senior,356,Hispanic,Low,Male
adult,511,Caucasian,Medium,Female
adult,314,African-American,Medium,Male
adult,615,African-American,Medium,Male
young,248,African-American,Low,Male
young,228,African-American,High,Male
adult,201,African-American,Medium,Male
adult,377,Caucasian,Medium,Male
young,557,African-American,High,Male
adult,141,African-American,High,Male
young,162,African-American,Medium,Male
adult,178,African-American,Low,Male
adult,465,Caucasian,Low,Male
adult,637,African-American,Low,Male
adult,699,Caucasian,Medium,Male
young,245,Caucasian,Medium,Female
young,277,African-American,High,Male
adult,170,Other,Medium,Female
adult,2882,African-American,High,Male
young,407,African-American,Medium,Female
adult,277,Caucasian,High,Male
adult,714,African-American,High,Male
adult,151,African-American,High,Male
adult,583,African-American,High,Male
adult,924,African-American,Low,Male
adult,11,African-American,Medium,Male
adult,205,Hispanic,Low,Male
young,296,African-American,Low,Male
senior,45,African-American,High,Male
adult,709,African-American,Medium,Female
adult,653,African-American,High,Male
young,36,African-American,High,Male
young,243,African-American,Low,Female
adult,514,Caucasian,Low,Male
adult,509,Caucasian,Low,Female
adult,219,African-American,High,Male
adult,11,African-American,High,Male
adult,136,African-American,High,Male
senior,183,African-American,High,Female
young,140,African-American,Low,Male
senior,30,African-American,Low,Male
adult,33,Caucasian,Low,Male
young,904,African-American,Low,Male
adult,88,African-American,High,Male
young,171,African-American,High,Male
young,105,African-American,High,Male
senior,71,Caucasian,Low,Female
adult,56,Hispanic,Low,Male
senior,238,African-American,High,Male
adult,484,African-American,Low,Male
young,294,Caucasian,High,Female
young,74,Caucasian,Low,Male
senior,584,Caucasian,Low,Male
adult,25,Caucasian,Medium,Female
adult,262,African-American,Low,Male
young,402,African-American,Medium,Male
adult,395,Caucasian,High,Male
adult,201,Caucasian,High,Male
adult,721,Other,Low,Male
adult,80,Caucasian,Low,Male
young,258,Caucasian,Low,Male
young,34,Hispanic,High,Male
adult,806,African-American,Low,Male
adult,680,African-American,High,Male
senior,8,Caucasian,Medium,Male
adult,218,African-American,High,Male
adult,89,Other,Low,Female
senior,84,African-American,High,Male
adult,48,Hispanic,High,Male
adult,218,African-American,Low,Male
adult,3,African-American,Medium,Male
adult,12,African-American,High,Male
young,162,Hispanic,Low,Male
adult,454,African-American,Medium,Male
adult,406,African-American,Low,Female
young,235,African-American,High,Male
adult,69,Caucasian,Low,Male
adult,673,African-American,Medium,Male
